Institution,Course Title,Link,Upcoming Date,Duration,Training Mode,Full Fee,Funded Fee,About This Course,What You'll Learn,Minimum Entry Requirement,Type,Job Title,Company,Location,Employment Type,Salary,Job Description
NTUC LEARNINGHUB PTE. LTD.,The Practicing Coach,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2022016054,16 Jan 25,3-5 days,Full Time,"$2,950.00","$1,475.00","At the end of the course, participants will be able to:
• Develop an understanding of the core standards, competencies, and ethical considerations to develop one’s coaching practice
• Exemplify and demonstrate the desirable behaviours that represent a demonstration of the core standards, competencies, and ethical considerations in a coaching conversation
• Experiment and practice with different coaching models for effective coaching conversations
• Evaluate one’s coaching practice through reflection
• Gain insights of the requirements to be credentialed as a certified professional coach","This course is Module 3 of the Khysalis Coaching Series, an International Coaching Federation (ICF) accredited programme. Participants who complete the full Khrysalis Coaching Series comprising 3 modules, will be eligible to apply for Associate Certified Coach (ACC) credentialling from ICF.
The Practicing Coach is targeted at individuals who aspire to deepen their coaching capabilities. As you embark on this module, you will build desirable coaching traits encouraging others to grow. Leaders will be able to enhance their coaching ability, self-awareness and mindfulness.
You will gain self-awareness and mindfulness as you implement the self-reflection techniques required in this coaching journey to hone and accelerate your coaching ability. Ample opportunity to practice active listening and asking questions to help others move forward with coaching conversation guidelines to help you start and close the session.
This course is highly experiential where learners will focus on honing their craft through peer practice and assessment in small-group settings or be in the “hot-seat”. In the “hot-seat”, to-be Coach will demonstrate their coaching techniques and be assessed by their peers and Coach-Mentors.

This course meets the International Coaching Federation (ICF) standards requirements.","• Be able to speak, listen and read English at a proficiency level not lower than the Employability Skills Workforce Skills Qualification (ES WSQ) Workplace Literacy (WPL) Level 8

• Have no less than 3 years’ experience in a supervisory or managerial role",Courses,,,,,,
SHRM COLLEGE PTE. LTD.,PWM-Food Services: Food Safety and Hygiene Level 1,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2022016978,14 Jan 25,1-2 days,Part Time,$150.00,$75.00,"This course is only for the low wage workers in the PWM-Food Services Sector.

Course Objectives

After the completion of this course, learners will be able to maintain food safety and follow hygiene procedures in the workplace. 

Learning Outcome
1: Learners will be able to practice good personal hygiene
2: Learners will be able to use safe ingredients
3: Learners will be able to handle food safely
4: Learners will be able to store food safely
5: Learners will be able to maintain cleanliness of equipment and premises
6: Learners will be able to comply to workplace safety legislation","Upon completion, learners will have the knowledge and skills in managing Food Safety and Hygiene and will be able to apply food safety standards at the workplace according to the Singapore Food Agency requirements.","Participants, must be able to understand and communicate in English (basic level). As training and assessment in conducted in English",Courses,,,,,,
CCCS INTERNATIONAL LEARNING INSTITUTE PTE....,Threat Observation (Recognise Terrorist Threats),https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2019504806,24 Jan 25,1-2 days,Full Time,$300.00,$150.00,"This competency unit specifies the knowledge & skills required of a security officer & Auxiliary police officer to describe contemporary terrorist threats, identify person-borne threats, vehicle-borne threats & object-based threats.","The content covers the following:
1. Describe contemporary terrorist threats
2. Identify Person-borne threats
3. Identify Vehicle-borne threats
4. Identify Object-based threats",,Courses,,,,,,
BRITISH COUNCIL (SINGAPORE) LIMITED,British Council WPLN (Workplace Literacy and Numeracy Assessment) (SSGREWRLISPNU - Reading+Writing+Listening+Speaking+Numeracy),https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2023035865,13 Jan 25,1-2 days,Full Time,$200.00,,WPLN Assessments to determine your English Literacy and Numeracy proficiency,"Computer-delivered English Literacy and Numeracy tests
WPLN Assessment for Reading, Writing, Listening, Speaking & Numeracy",Able to use a computer,Courses,,,,,,
NATC INSTITUTE PTE. LTD.,Emerging Technology (synchronous and asynchronous e-learning),https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2020505081,13 Jan 25,3-5 days,Full Time and Part Time,"$1,080.00",$540.00,"At the end of Emerging Technology course, participants will be equipped with knowledge and skills to lead analysis of emerging technologies and drive implementation of industry specific technologies for organisational effectiveness.  They will foster attributes to become a forward-looking and results-oriented leader who is able to negotiate strategically.","On completion of this workshop, learners should have ability to:
•  TLO1:  Establish framework, guidelines and procedures to review and adopt emerging  technologies
•  TLO2: Determine environmental considerations for new or upgraded  equipment/software
•  TLO3: Evaluate environmental considerations involved with technological use
•  TLO4: Review emerging technologies and their implication towards business strategies  and objectives
•  TLO5:  Evaluate usability of emerging technologies for internal operations, processes  and systems
•  TLO6: Drive process improvement and change management based on adoption of emerging technologies",,Courses,,,,,,
RELATIONSHIP STUDIO PTE. LTD.,WSQ PEOPLE MANAGEMENT WITH ENNEAGRAM,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2020503287,13 Jan 25,3-5 days,Part Time,$680.00,$340.00,"Understanding the different personality types and leadership styles helps leaders understand their natural talent in leadership. This can further help them to hone their communication and leadership skills. By understanding how to manage different personality types, leaders are able to work on their strengths and avoid management pitfalls.","After this course, learners will be able to understand what motivates people learn how to avoid the common pitfalls in team building. They can appreciate diversity in different personality types and learn how to leverage on each other’s strength as a team. They are also able to appreciate their own personality profiling as a leader and discover how to be at their best to communicate effectively with different personality types.","• Language ability: Able to read and write in English
• Educational level: Minimum ‘O Level’ certification
• Language proficiency: Workplace Literacy and Numeracy (WPLN) Level 6",Courses,,,,,,
SINGAPORE MANAGEMENT UNIVERSITY,"Generative AI: Applications, Prompt Engineering and the power of ChatGPT",https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2023021285,17 Jan 25,1-2 days,,"$1,000.00",$300.00,"At the end of the 1-day course, participants will be able to:
• Define ChatGPT and learn the fundamentals of ChatGPT
• Explore the applications of ChatGPT in businesses and examine how to train and fine-tune a ChatGPT model
• Learn the Advanced ChatGPT technique s (conversational Artificial Intelligence, chatbots, customisation for specific tasks) and analyze the best practices of using ChatGPT
• Understand the ethical considerations of using ChatGPT
• Discover the strategies for maintaining and updating your ChatGPS model
• Acquire the lessons learnt from the challenges of using a ChatGPT with real-world case studies and examples","With Microsoft weighing a $10 billion investment in OpenAI, ChatGPT, as its acronym indicates, is a generative language model based on the ‘transformer’ architecture. Founded by OpenAI in 2015, this language model is capable of processing large amounts of text and learning to perform natural language processing tasks effectively. This chat research tool crossed 1 million users in just 5 days after its launch. Many tech executives and venture capitalists have even compared it to Apple’s debut of the iPhone in 2007. ChatGPT surpasses language barriers and can be utilised in various industries, such as improving customer service, generating attractive posts on social media, solving errors in code and many more. In this course, participants will learn the fundamentals of ChatGPT, examine its benefits and learn to employ its technology in businesses.",,Courses,,,,,,
THE SINGAPORE CONTRACTORS ASSOCIATION LIMITED,Develop a Risk Management Implementation Plan (Synchronous e-learning),https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2012500984,20 Jan 25,3-5 days,Full Time and Part Time,$359.81,$179.90,"On completion of this unit, learners will acquire the knowledge and skills to be a RM Team Leader/Risk Management Champion for the organisation in reducing risks at source by managing the risk management process at workplace. It involves developing a practical risk management implementation plan for the organisation which identify specific actions to be taken, by whom and time for their completion. It also entails formation of risk management team, risk assessment, controlling and monitoring the risks, communicating these risks to all persons involved and in compliance with the Risk Management Code of Practice (RMCP)..","- Expectation of RM Champion / RM Team Leader
- Form RM Team
- Establish Hazard identification Methodology
- Establish RA methodology 
- Establish Risk Control Methodology
- Develop a workplace RM plan
- Present the RM plan
- Risk Communication",,Courses,,,,,,
NTUC LEARNINGHUB PTE. LTD.,Basic Support Care Training,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2023020519,13 Jan 25,6 days - 1 month,Part Time,"$1,100.00",$550.00,"- Prepare to Assist Elderly to Meet Basic Needs 
- Assist Clients to Meet Basic Hygiene Needs 
- Assist Clients with Clinical Care Needs 
- WSQ Provide Enhanced Personal Care For Clients","- Identify potential risk situations when working with the elderly client
- Establish rapport and maintain a relationship with the client
- Assist elderly client in oral feeding
- Transfer the elderly client with or without mobility equipment to prevent falls
- Assist clients with common health conditions
- Assist client with hygiene activities
- Assist client with elimination and perineal care activities","Be able to listen, speak, read and write English and use numeracy skills at a profi ciency level equivalent tothe following:
Employability Skills Workforce Skills Qualifi cations (ES WSQ) Workplace Literacy and Numeracy (WPLN)Level 5",Courses,,,,,,
WORK WORK PRIVATE LIMITED,Horizontal Surface Maintenance (Level 1),https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2020503132,22 Jan 25,1-2 days,Full Time and Part Time,$240.00,$120.00,"At the end of the course, you will be able to develop the ability to follow processes and procedures on cleaning of horizontal surfaces.","- Collect assigned tools, equipment and supplies and place them on rack and/or receptacles.
- Use allocated PPE to perform cleaning of the assigned hard floor surfaces and/or carpet.
- Display the appropriate safety signage at designated area to prevent accidents during the course of cleaning the surroundings. 
- Perform cleaning and/or vacuuming of hard floor surfaces or carpet in accordance with organisational procedures and guidelines.
- Ensure waste collected at waste-holding area are secured in its containers.
- Replenish consumables cleaning supplies used for cleaning the hard floor surfaces and carpet when necessary to ensure smooth operation of cleaning services provided.
- Inform appropriate person or supervisor if work activities cannot be carried out.","- Speak, listen and read English at Workplace Literacy (WPL) Level 3, and manipulate numbers at Workplace Numeracy (WPN) Level 3.
- Never attended school; pre-primary / kindergarten education; primary education without PSLE / PSPE certification or equivalent.
- Minimum of two months of work experience in the environmental service industry as a General Cleaner or with the interest to be employed in the industry.",Courses,,,,,,
KNOWLEDGETREE TRAINING CENTRE PTE. LTD.,Deterrence (Manage Disorderly Conduct & Threatening Behavior),https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2019501384,24 Jan 25,3-5 days,Full Time,$440.84,$220.42,To provide trainees with the skills and knowledge to be able to manage disorderly conduct & threatening behaviour.,"1) Prepare for work activities
2) Deter threatening behaviour
3) Deal with disorderly/threatening behaviour",,Courses,,,,,,
ARIEL SECURITY ACADEMY PTE. LTD.,Threat Observation (Recognise Terrorist Threats),https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2020503687,27 Jan 25,3-5 days,Part Time,$395.00,$197.50,"To train the security officer to handle and identify
• Characteristics of terrorists 
• Methods of terrorist attack 
• Trends in terrorism  
• Types of observation 
skills to recognise tell-tale indicators 
• Tell-Tale Indicators (TTI) of suspected casing activities, objects or mails with Improvised Explosive Devices (IEDs) and chemical or biological agents 
• Tell-Tale Indicators (TTI) of suspected person borne, vehicle-borne Improvised Explosive 
Devices (IED) 
• Tell-Tale Indicators (TTI) of casing by Unmanned Aerial Vehicle (UAV)","• Characteristics of terrorists 
• Methods of terrorist attack 
• Trends in terrorism  
• Types of observation 
skills to recognise tell-tale indicators 
• Tell-Tale Indicators (TTI) of suspected casing activities, objects or mails with Improvised Explosive Devices (IEDs) and chemical or biological agents 
• Tell-Tale Indicators (TTI) of suspected person borne, vehicle-borne Improvised Explosive 
Devices (IED) 
• Tell-Tale Indicators (TTI) of casing by Unmanned Aerial Vehicle (UAV) 
• Methods of reconnaissance 
• Signs of inappropriate demeanour, potential suicide bombers, and surveillance and intelligence gathering being conducted 
• Common indicators of suspicious persons 
• Basic crowd control 
• Types of disorderly and suspicious behaviour","Learners meeting the following criteria are eligible for the course:
1) Good Interpersonal Skills
2) Learners are able to:
• Listen and Speak English at a proficiency level equivalent to the WSQ Employability Skills Workplace Literacy (WPL) Level 3
• Read and Write English at a proficiency level equivalent to the WSQ Employability Skills Workplace Literacy (WPL) Level 3
• Manipulate numbers at a proficiency level equivalent to the WSQ Employability Skills Workplace Numeracy (WPN) Level 3",Courses,,,,,,
GLOBAL BRAND ACADEMY (PTE. LTD.),AI-Driven Digital Marketing: Mastering the Future,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2024041327,20 Jan 25,3-5 days,Part Time,"$1,000.00",$500.00,"AI-Driven Digital Marketing: Mastering the Future"" is a comprehensive course structured into three learning units.

LU1: focuses on equipping learners with a fundamental understanding of an organization's marketing mix. By the end of this unit, learners will be proficient in analysing marketing mix elements in the context of an organization's retail formats.

LU2: builds on the foundation established in LU1. It delves deeper into the framework for marketing mix success and explores AI solutions in marketing strategies. Upon completion of this unit, learners will have the skills to create digital marketing campaigns that align with organizational objectives.

LU3: Emphasizing the importance of monitoring marketing mix performance and engaging stakeholders. Learners will acquire methods to assess marketing mix elements and create evaluation criteria for stakeholder engagement in marketing mix performance evaluation.","LO1:
Analyse elements of an Organisation's marketing mix
(K1,K4)

LO2:
Interpret the importance of emerging trends that creates marketing opportunities
(K2,K6)

LO3:
Evaluate the elements of a well-balanced marketing mix in relation to organisation’s retail formats
(K3,A4)

LO4:
Examine the importance of re-alignment of marketing mix 
(K7)

LO5:
Create a digital marketing campaign that meets targeted customers and organizational, strategic and operational marketing objectives and desired
positioning
(K5, A2, A3, A5)

LO6:
Apply 2 methods to monitor performance of marketing elements against the digital marketing mix objectives
(A1,A6)

LO7:
Evaluate the performance of marketing mix through performance measurements and stakeholders engagement 
(K8,A7)","• Min secondary school education
• Learners who are not able to fulfill basic literacy requirements for the program will be advised to register for the WSQ Workplace Literacy (WPL) Program. Contact information of the providers for the WPL will be provided if necessary.
• Learners without any formal qualifications (e.g., Secondary or post-Secondary Level etc.) will be required to provide SOA or supporting documents to prove that they have attended WSQ training programs (equivalent or higher) or prove of relevant working experience to justify abilities and competencies.  They will then know the expectations of the course such as the willingness to participate in class activities which include group discussion, brainstorming, and presentation that requires medium to high sociality and emotion. If the learners do not meet any of the above requirements, they could submit a writing proficiency assessment and interview by a program specialist who will then approve on a case-by-case basis.",Courses,,,,,,
GREENSAFE INTERNATIONAL PTE. LTD.,Perform Work At Height,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2022013292,14 Jan 25,1-2 days,Full Time,$75.00,$37.50,"At the end of the course Leaners will be able to;
1. Perform checks before and after use of Work at Height (WAH) equipment
2. Perform proper use of WAH equipment in accordance to relevant legislation and guidelines, including evaluating use of fall arrest and fall prevention systems
3. Perform self-relief techniques during harness suspension trauma situations","The ""Perform Work at Height"" Course aims to provide learners with the Knowledge and Skills in performing work at height in construction and other industry sectors.","Learners are assumed to have:
• Employability Skills (ES) Workplace Literacy level 3 and above.
• Be able to manipulate numbers at a proficiency level equivalent to ES Workplace Numeracy level level 3 and above.",Courses,,,,,,
WORK WORK PRIVATE LIMITED,Workplace Safety and Health Practices Implementation (Level 1),https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2019503624,23 Jan 25,1-2 days,Full Time and Part Time,$160.00,$80.00,"At the end of this module, you will be able to develop the ability to follow the organisational Workplace Safety and Health (WSH) policies and guidelines.","- Follow WSH practices to prevent accidents or minimise risks.
- Identify the unsafe acts or conditions present in the work environment.
- Report to supervisor unsafe acts or conditions.","- 21 years and above.
- Speak, listen and read English at Workplace Literacy (WPL) Level 3, and manipulate numbers at Workplace Numeracy (WPN) Level 3.
- Never attended school; pre-primary / kindergarten education; primary education without PSLE / PSPE certification or equivalent.
- Minimum of two months of work experience in the environmental service industry as a General Cleaner or with the interest to be employed in the industry.",Courses,,,,,,
EDUQUEST INTERNATIONAL INSTITUTE PTE. LTD.,SkillsFuture for Digital Workplace 2.0 (General),https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2023040688,13 Jan 25,3-5 days,Part Time,$600.00,$180.00,"1. Have awareness of jobs and digital skills required in the current and future digital economy
2. Have understanding of work-place cybersecurity
3. Be able to drive digital automation applications and AI tools (such as chatGPT) in the workplace
4. Be able to transform data into insights using analytics tools and dashboards
5. Be able to navigate SkillsFuture portal for online tools, courses and career options
6. Be able to develop an action plan to upgrade and upskill yourself
7. Have awareness of new technology such as AR","Arm yourself with the relevant mindset and digital literacy skills for work needed in the current and future economy, with data analytics, cybersecurity, new digital tools, and business automation for a digital workplace.","Beginners and Non-Technical individuals who need to better leverage digital tools and have an understanding of the modern digital landscape, or for  executives who strive to develop a strategic understanding of digital technologies and are seeking the full perspective to lead in a digital world and transform their organisations from within.


MINIMUM ENTRY REQUIREMENTS (MER)
Candidates should meet the following entry requirements:
● 16 years and above
●  No formal qualification
● Able to speak, listen, read, and write English at a proficiency level not lower than the Employability Skills WSQ Level 4 Workplace Literacy (WPL)
●  Able to manage calculations at a proficiency level not lower than the Employability Skills WSQ Level 4 Workplace Numeracy (WPN)
●  Possess foundational digital literacy skills required at the workplace",Courses,,,,,,
ARIS INTEGRATED MEDICAL PTE. LTD.,Occupational First Aid (OFA) + AED,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2020500083,13 Jan 25,3-5 days,Full Time,$330.00,$165.00,"At the end of the training, the participants will be able to:
1) Manage Industrial Medical Incidence and Emergencies
2) Acquire Practical Occupational First Aid Skills
3) Knowledge on Occupational First Aid Skills and its Applications..","1)Basic Principles and Practice of  First-Aid
2)First-aid Requirements Factories and Other Workplaces
3)Basic Knowledge on Wounds, Bleeding & Shock
4)Basic Knowledge on Fractures and Soft Tissue Injuries
5)Handling and Transportation of the Injured
6)Knowledge & Practical on Cardio- Pulmonary Resuscitation & AED (Automated External Defibrillator)
7)Breathing Difficulties
8)The Unconscious Patient
9)Occupational Eye Injuries
10)Understanding for Burn Injuries
11)Industrial Toxicology 
12)Workplace Safety and Accident Prevention
13)Management of Medical Emergencies
14)Revision
15)Written and Practical Examination",For Workplace related,Courses,,,,,,
BIZ IQ ACADEMY,Delicious Bento,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2022016226,18 Jan 25,3-5 days,Full Time and Part Time,$880.00,$440.00,"1. Ingredients for Bento Boxes
2. Prepare different types of Bento Boxes
3. Presenting Bento Boxes",This course seeks to equip the relevant bento box preparation skills for learners who are keen to pursue a skills-based vocation in the Culinary Food Services industry. Biz IQ Academy’s unique proposition is its close collaboration with industry partners to ensure that the relevant skills acquired is in line with the industry needs.,"a) At least 18 years old
b) Have at least primary 6 school education
c) Be able to speak, listen and read English at a proficiency level not lower than the Employability Skills Workforce Skills Qualification Workplace Literacy Level (WPL Level 3)",Courses,,,,,,
EMERGENCIES FIRST AID & RESCUE PTE. LTD.,Standard First Aid (NROC),https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2019500021,15 Jan 25,3-5 days,Part Time,$200.00,$100.00,The Learner will have knowledge and application skills in demonstrating first aid/CPR skills and be able to apply them to the workplace.,"This course provides participants with the knowledge and skill of administering first aid, such as the do's and don'ts when they are attending to someone who is sick or injured.

Participants will also learn how to perform CPR (Hands-Off) and use an AED.","Ability to speak and communicate in English effectively.
No physical conditions that might prevent learner from doing Chest Compressions.",Courses,,,,,,
NATC INSTITUTE PTE. LTD.,Retailing and the Economy (synchronous E-learning),https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2019504235,20 Jan 25,3-5 days,Full Time and Part Time,$800.00,$400.00,"By the end of the training, the learners will have the ability to understand key considerations and target markets in retailing and understanding of the Economic system and concepts of Demand & Supply in the retail industry.","On completion of this workshop, the learners should have the: 
Knowledge to understand 
1. Marketing strategies used in retailing 
2. Distribution methods in retailing 
3. Effects of demand and supply on the price and production quantity 
4. Application of the following concepts in the context of retailing: scarcity, opportunity costs, demand and supply, elasticity, utility concept 
5. Factors affecting the global retail environment and the way retailers do business

Ability to
1. Review the key considerations in retailing
2. Review the recommended selling price for products and/or services using the concept of demand and supply in relation to price and quantity in the context of retailing
3. Apply the utility concept in relation to decision making in the context of retailing 
4. Identify the characteristics of the various types of market structures in the context of retailing 
5. Review the effects of socio-economic changes in the retailing environment",,Courses,,,,,,
SINGAPORE POLYTECHNIC,Design Thinking 101,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2020512797,5 Feb 25,1-2 days,Full Time and Part Time,$300.00,$90.00,This is an introductory taster course about Design Thinking (DT). It is meant to arouse the interests of participants in Design Thinking and enables participants to apply key principles learned from the DT process through hands-on activities and team-work which will be guided by experienced facilitators.,"At the end of the session, participants will be able to:

1. Explain what is Design Thinking (DT)
2. Highlight the special features in a DT process, and elaborate on its usefulness in developing an entrepreneurial mindset
3. Demonstrate how DT can help businesses design a more competitive product or service for greater market success",,Courses,,,,,,
NTUC LEARNINGHUB PTE LTD,TDVL Refresher (Non-Active Driver) Course,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2022012383,16 Jan 25,1-2 days,Full Time,$45.00,,The course enables TDVL holders to update their knowledge and acquire all the competencies required to provide point-to-point services to commuters as a profession so that they are update with the current changes and SOP’s resulting in service ready Drivers by attend 5-hours mandatory VL Refresher Course,"1.Licensing of Drivers
2.The Public Service Vehicle
3.Installation of audio and visual equipment in vehicle
4.Key guidelines for installation of IVRDs (In-Vehicle Recording Devices) in PSV - Penalties for unauthorized installation of inward facing IVRDs
5.Protecting the passenger’s privacy - Guidelines on PDPA
6.Conduct of drivers – Road Traffic (PSV) Rules
7.Penalties for errant drivers
8.The Driver Improvement Points System (DIPS)
9.The Vocational Licence Points System (VLPS)
10.The VLPS Scheduled Offences and Penalties for PSV Drivers
11.Inconsiderate and Careless driving
12.Smoking in Vehicle
13.Latest LTA Rules and Regulations
14.Latest Road Traffic Rules and Regulations
15.Updates on Vocational Licence Points System (VLPS)
16.Principles of Safety and Comfort for Driver and Passengers
17.Key Customer Service Principles",No Entry Requirement,Courses,,,,,,
SINGAPORE EMERGENCY RESPONDER ACADEMY,Child First Aid,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2020502359,17 Jan 25,3-5 days,Part Time,$198.00,$99.00,The aim of the course is to provide relevant knowledge and skills in rendering first aid treatment to a child or infant during any emergency at the childcare or pre-school centres.,"The course content is in line with the guidelines of the Singapore Resuscitation and First Aid Council (SRFAC) and the Early Childhood Development Agency (ECDA).
- Introduction to First Aid
- Respiratory Problems/Disorders in a Child
- Circulatory System in a Child
- Unconsciousness
- Musculoskeletal System in a Child
- Skin Injuries
- Common Illnesses in a Child","Participants must be able to read and write English effectively. Participants also should not have any underlying medical conditions, or physical injury that might prevent them from kneeling and performing chest compressions.",Courses,,,,,,
ARISE SERVICES PTE. LTD.,Food Safety Course Level 1,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2022010659,15 Jan 25,1-2 days,Part Time,$150.00,$75.00,"On completion of this course, participants will have the knowledge and skills in Food Safety and Hygiene and be able to apply them at the workplace. These include:

The course will cover the following lessons and five topics:

Topic 1: Practise good personal hygiene
Topic 2: Use safe ingredients
Topic 3: Handle food safely
Topic 4: Store food safely
Topic 5: Maintain cleanliness of equipment and premises","The Singapore Food Agency (SFA), together with SkillsFuture Singapore (SSG), have revised the Follow Food & Beverage Safety and Hygiene Policies and Procedures course (also known as Basic Food Hygiene Course) and renamed it as Food Safety Course Level 1 under the TSC name of Food Safety and Hygiene Level 1 with effect from 30 November 2020. This is to harmonise the training curriculum and assessment across retail and non-retail food businesses, in alignment with the refreshed SSG Skills Framework (SFw) for Food Services.

The course consists of 6 hours of training and 1.5 hours of assessment. Upon successful completion of the course and assessment, a Statement of Attainment (SOA) will be awarded to the participants. This will accord the participants to work in food and beverage preparation / pre-requisite to operate a food shop/stall.","Any person who is planning to handle and prepare food and beverage in SFA-licensed food establishment i.e. Kitchen Managers, Supervisors, Chefs, Sous Chefs, Cooks, Kitchen Assistants, Food Stall Assistants and all food and beverage handlers.",Courses,,,,,,
TRAINING MASTERS WORKFORCE INSTITUTE PTE LTD,PWM-Cleaning: L3 Stakeholder Management,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2018500709,21 Jan 25,1-2 days,Part Time,$275.00,$137.50,"This course is only for the low wage workers in the PWM-Cleaning Sector.

Maintain on-going relationships that create partnerships and ensure on-going communication with stakeholders",Organisational procedures relating to monitoring of service operations; Components of service operations plan; Relevant legal requirements relating to service operations; Types of work schedule and job instructions; Types of resources required; Types of supervision and reporting plan; Types of communication skills; Types of stakeholders,Lower Secondary Education,Courses,,,,,,
EVERSAFE ACADEMY PTE. LTD.,Supervise Work in Confined Space Operation,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2014501297,13 Jan 25,3-5 days,Full Time and Part Time,$230.00,$115.00,"On completion of this unit, learners will be equipped with the necessary skills and knowledge to perform the duties of a supervisor working in a confined space.","Legislation and Code of Practice on confined space work
Duties and responsibilities of all personnel involved in
confined space work
Manhole Hazards Part A – Atmospheric Hazard
Manhole Hazards Part B – Physical and Biological Hazards
Manhole Entry Permit System
Safety Measures for Manhole Entry & Work
Overview of gas Testing Procedures
Use and Limitations of Gas Detection Instruments
Selection, use, fit and maintenance of personal protective equipment used for work in manholes
Accident Case Studies of Accidents in Manholes
Communication and Emergency Response Plan",,Courses,,,,,,
REPUBLIC POLYTECHNIC,3D Printer Build and Print Course (1 day),https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2023021587,18 Jan 25,1-2 days,,$900.00,$270.00,The course provides a hands-on session on building and assembling a fully functional 3D printer.,"You will be guided to assemble parts and build the 3D printer with various tools. During the process, you will also be educated on the electrical, mechanical and structural components of the 3D printer and how it functions. Once assembled, you will learn how to print using the 3D printer and its applications.",Proficiency in English,Courses,,,,,,
EVERSAFE ACADEMY PTE. LTD.,Perform Work At Height,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2022013003,13 Jan 25,1-2 days,Full Time and Part Time,$90.00,$45.00,"The Generic Manufacturing Skills (GMS) WSQ framework aims to raise the
professionalism of the manufacturing industry by equipping the workforce with
essential generic and portable skills to adapt and be resilient to challenges in the
dynamic working environment. It allows employers to access a pipeline of skilled
workforce, which provides a competitive advantage and enables organisation
success. It also equips workers with cross-cutting generic manufacturing skills to
effectively contribute and progress within an organisation as well as promote mobility
across construction and other related companies.","“Perform Work At Height” is a Competency Unit under the GMS WSQ Framework.
The Performance Statements covered are:
PS1. Perform checks before and after use of Work at Height (WAH) equipment
PS2. Perform proper use of WAH equipment in accordance to relevant
legislation and guidelines, including evaluating use of fall arrest and fall
prevention systems
PS3. Perform self-relief techniques during harness suspension trauma
situations","Applicant should have a basic knowledge of workplace processes, procedures, activties and practices.

Applicant should be able to understand and communicate in language of instruction.",Courses,,,,,,
